ID,Fecha registro,Estado,Municipio,Fecha hechos,Lugar hechos,Modalidad violencia,Conoce agresor,Hubo drogas,Hubo armas,Violencia Física,Violencia Psicológica,Violencia Sexual,Violencia Patrimonial,Violencia Económica,Violencia Otra
1483690,21/03/2023,Colima,Ciudad de Villa de ílvarez,19/01/2022,Espacio particular,1 - Familiar,NO,NO,NO,1,1,1,0,1,0
1484150,15/02/2023,Colima,Colima,29/12/2017,Espacio particular,1 - Familiar,SI,SI,Desconocido,0,0,0,0,1,0
1484216,24/02/2023,Colima,Tecomán,23/02/2023,Espacio particular,1 - Familiar,NO,NO,NO,1,0,0,0,0,0
1485233,01/02/2023,Colima,Colima,05/05/2022,Espacio particular,1 - Familiar,SI,SI,NO,1,1,1,1,1,0
1485347,30/03/2023,Colima,Ciudad de Villa de ílvarez,28/11/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1485361,29/03/2023,Colima,Ciudad de Villa de ílvarez,26/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1485372,16/03/2023,Colima,Colima,11/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1485780,24/01/2023,Colima,Cuauhtémoc,20/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1486053,31/03/2023,Colima,Manzanillo,28/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,1,1,0
1486821,11/01/2023,Colima,Manzanillo,28/12/2022,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,0,1,0
1486871,01/02/2023,Colima,Colima,31/01/2023,Espacio público,1 - Familiar,SI,Desconocido,Desconocido,0,1,1,0,0,0
